committee_id,state,zipcode,transaction_date,transaction_amount
C00581199,NV,89034,12032016,100
C00608398,LA,71270,12062016,1000
C00010603,CA,900041107,12172016,10
C00580100,AL,36582,12172016,213
C00458000,PA,152171330,12182016,7
C00010603,CA,917905152,12282016,4
C00002972,IL,610251136,12192016,50
C00191247,AK,995777515,12312016,-2605
C00010603,TX,760514239,12152016,10
C00010603,CA,904033146,12272016,100
C00458000,WI,53190,12312016,3
C00458000,NY,11201,12042016,33
C00010603,PA,190866040,12072016,10
C00010603,FL,331803764,12192016,25
C00002972,FL,336472560,12052016,20
C00033555,TN,37877,12082016,5
C00010603,MI,492036363,12252016,25
C00010603,HI,968251407,12202016,25
C00580100,TX,79932,11302016,250
C00010603,PA,190383304,12172016,10
C00010603,RI,028064711,12252016,50
C00010603,TX,750617916,12072016,50
C00010603,MA,018543945,12172016,10
C00580100,CO,80231,12192016,500
C00010603,CO,805241517,11302016,10
C00395889,IL,600352680,11302016,35
C00267849,CA,925925701,12312016,25
C00608901,TX,76006,12102016,500
C00010603,CA,917411952,12072016,25
C00580100,FL,32408,12012016,2900
C00010603,ME,041061600,12192016,225
C00425975,TX,793160000,12162016,10
C00010603,NJ,070875220,12082016,20
C00010603,CA,958352170,12022016,10
C00010603,OH,452152542,12272016,25
C00458000,KY,40207,12182016,2
C00073056,PA,183227040,11302016,80
C00010603,IA,506139350,12132016,25
C00608398,KY,40207,12082016,250
C00237198,MI,48207,12312016,-2700
C00033555,AL,35406,12292016,5
C00575795,VA,223112348,11302016,100
C00376673,MD,211530642,12202016,2700
C00575795,,,12062016,7
C00010603,NY,141399704,12182016,10
C00010603,VA,220306652,12162016,10
C00575795,PA,168031449,12132016,-10
C00620518,FL,349966745,12082016,100
C00010603,CO,812119778,12162016,10
C00010603,NJ,077221201,12192016,10
C00458000,CO,81003,12112016,25
C00010603,NC,275142628,12062016,25
C00010603,NC,287689649,12192016,25
C00010603,CA,920373029,12102016,25
C00021121,NY,12203,12302016,20
C00010603,DC,20003,12092016,10
C00575449,FL,342216931,12162016,1000
C00010603,NC,274102227,12032016,10
C00580100,GA,30327,12012016,2700
C00010603,CO,815032994,12202016,156
C00010603,NC,286552669,12072016,25
C00580100,NJ,07901,12042016,-100
C00580100,TX,78261,12082016,-184
C00010603,TX,770211505,11302016,250
C00010603,ME,040326739,12262016,25
C00002972,AL,360666174,11302016,19
C00010603,WI,542358151,12282016,50
C00581199,CA,95472,12092016,500
C00267849,IL,601851788,12312016,100
C00010603,MI,481976201,12062016,50
C00010603,CA,902926797,12022016,50
C00010603,NJ,074521603,11302016,10
C00010603,AK,35006,12072016,25
C00010603,CA,934279610,12182016,50
C00010603,WA,981175940,11302016,10
C00581199,CA,94040,12052016,250
C00010603,IL,604677599,12212016,10
C00010603,FL,331436876,12282016,25
C00458000,WA,98296,12182016,100
C00010603,TX,786649618,12062016,25
C00010603,CA,946061522,12092016,50
C00458000,CA,92115,12252016,10
C00230789,CA,91367,12162016,30
C00010603,MO,631112303,11302016,100
C00458000,CO,80424,12042016,1
C00010603,MO,631241109,12122016,100
C00073056,NV,891351025,11302016,25
C00608398,LA,70769,12062016,500
C00033555,NC,28655,12222016,5
C00580100,TX,77007,12072016,-250
C00010603,KY,405031846,12062016,10
C00010603,AL,358244061,12212016,10
C00010603,TX,768011940,12282016,25
C00588772,MA,014601540,12082016,1000
C00010603,IN,462501729,12222016,25
C00002972,FL,338731310,12302016,10
C00010603,NJ,077015538,12242016,10
C00010603,WA,981103184,12252016,10
C00461046,PA,181039649,12162016,250
C00458000,FL,34982,12252016,15
C00108613,IN,460779508,12092016,1000
C00580100,NC,27282,12282016,35
C00575795,FL,333194946,12142016,-5
C00608398,LA,70005,12012016,1000
C00010603,TX,787452710,12072016,10
C00010603,NC,281159378,12082016,10
C00010603,TX,787467278,12282016,10
C00580100,WA,98053,12212016,-74
C00010603,TX,750403282,12282016,10
C00540112,WA,98335,12022016,25
C00458000,CA,93105,12252016,25
C00580415,NY,142032402,12292016,5400
C00608398,LA,70562,11302016,150
C00010603,VA,221921309,12112016,25
C00010603,NY,105493401,12222016,25
C00010033,MT,596018021,12192016,20
C00459255,IN,46032,12212016,2300
C00286807,RI,02864,12202016,80
C00575795,NV,891214457,12072016,-25
C00010603,AL,358013606,12282016,10
C00010603,MA,014511820,12092016,50
C00575795,TX,787451805,12302016,-25
