"","V1","V2","V3","V4","V5","V6","V7"
"353","H0MI02144",2010,2016,"C00477752","H","P",202194
"354","H0MI02177",2010,2016,"C00480376","H","P",202195
"355","H0MI03118",2010,2016,"C00473215","H","P",202196
"356","H0MI03126",2016,2016,"C00476291","H","P",202197
"357","H0MI03167",2010,2016,"C00479543","H","P",202198
"358","H0MI05063",2010,2016,"C00462366","H","P",202199
"359","H0MI07051",2010,2016,"C00459685","H","P",202200
"360","H0MI07077",2010,2016,"C00469973","H","P",202201
"361","H0MI07093",2012,2016,"C00479691","H","P",202202
"362","H0MI07101",2010,2016,"C00480756","H","P",202203
"363","H0MI08042",2014,2016,"C00343863","Q","U",202204
"364","H0MI08091",2012,2016,"C00501734","H","P",202205
"365","H0MI09115",2012,2016,"C00463570","H","P",202206
"366","H0MI09156",2010,2016,"C00485169","H","P",202207
"367","H0MI10071",2014,2016,"C00347476","H","P",202208
"368","H0MI12119",2010,2016,"C00460790","H","P",202209
"369","H0MI12127",2014,2016,"C00518977","H","P",202210
"370","H0MI12135",2012,2016,"C00487264","H","P",202211
"371","H0MI13380",2010,2016,"C00477695","H","P",202212
"372","H0MI13398",2014,2016,"C00477828","H","P",202213
"373","H0MI13414",2012,2016,"C00484493","H","P",202214
"374","H0MI13422",2010,2016,"C00485391","H","P",202215
"375","H0MI13448",2010,2016,"C00485672","H","P",202216
"376","H0MN01045",2016,2016,"C00550707","H","P",202217
"377","H0MN01086",2010,2016,"C00479469","H","P",202218
"378","H0MN04049",2016,2016,"C00354688","H","P",202219
"379","H0MN04163",2016,2016,"C00486894","H","P",202220
"380","H0MN05103",2012,2016,"C00470773","H","A",202221
"381","H0MN05137",2010,2016,"C00491076","H","P",202222
"382","H0MN06127",2012,2016,"C00496513","H","P",202223
"383","H0MN08115",2012,2016,"C00528851","H","J",202224
"384","H0MO00019",2012,2016,"C00493684","H","P",202225
"385","H0MO01066",2016,2016,"C00346080","H","P",202226
"386","H0MO01124",2012,2016,"C00502161","H","P",202227
"387","H0MO01132",2012,2016,"C00523753","H","P",202228
"388","H0MO01165",2014,2016,"C00566265","H","P",202229
"389","H0MO02213",2016,2016,"C00567115","H","P",202231
"390","H0MO03153",2010,2016,"C00482919","H","P",202232
"391","H0MO04086",2016,2016,"C00493783","H","J",202234
"392","H0MO04086",2016,2016,"C00464602","H","P",202233
"393","H0MO04128",2010,2016,"C00467779","H","P",202235
"394","H0MO06073",2016,2016,"C00410621","Q","D",210082
"395","H0MO06073",2016,2016,"C00359034","H","P",202236
"396","H0MO06073",2016,2016,"C00588822","N","J",210081
"397","H0MO06172",2016,2016,"C00615443","H","P",211215
"398","H0MO07113",2016,2016,"C00624841","N","J",212184
"399","H0MO07113",2016,2016,"C00610501","H","J",210864
"400","H0MO07113",2016,2016,"C00460063","H","P",202237
"401","H0MO07139",2010,2016,"C00464578","H","P",202238
"402","H0MO07147",2014,2016,"C00468355","H","P",202239
"403","H0MO07162",2010,2016,"C00469510","H","P",202240
"404","H0MO07170",2010,2016,"C00471045","H","P",202241
"405","H0MO07196",2010,2016,"C00481044","H","P",202242
"406","H0MO09135",2010,2016,"C00482018","H","P",202243
"407","H0MO09168",2010,2016,"C00489526","H","P",202244
"408","H0MP03018",2010,2016,"C00482430","H","P",202245
"409","H0MS01043",2016,2016,"C00464487","H","P",202246
"410","H0MS01043",2016,2016,"C00536623","N","J",202247
"411","H0MS01050",2015,2016,"C00475988","H","P",202248
"412","H0MS01076",2010,2016,"C00476440","H","P",202249
"413","H0MS02058",2010,2016,"C00476960","H","P",202250
"414","H0MS02066",2012,2016,"C00488684","H","P",202251
"415","H0MS04120",2016,2016,"C00477323","H","P",202252
"416","H0MT00082",2010,2016,"C00479907","H","P",202253
"417","H0NC01036",2016,2016,"C00602979","H","P",211017
"418","H0NC01051",2010,2016,"C00471342","H","P",202254
"419","H0NC02042",2010,2016,"C00471029","H","P",202255
"420","H0NC02059",2016,2016,"C00493783","H","J",202257
"421","H0NC02059",2016,2016,"C00471896","H","P",202256
"422","H0NC02059",2016,2016,"C00572131","H","J",209105
"423","H0NC02059",2016,2016,"C00575068","N","J",209247
"424","H0NC02067",2010,2016,"C00480707","H","P",202258
"425","H0NC04139",2012,2016,"C00508267","H","P",202259
"426","H0NC04147",2016,2016,"C00576983","H","P",209382
"427","H0NC06126",2010,2016,"C00474353","H","P",202260
"428","H0NC07090",2012,2016,"C00500165","H","P",202261
"429","H0NC08163",2016,2016,"C00515213","H","A",202262
"430","H0NC08163",2016,2016,"C00597112","H","P",210439
"431","H0NC08189",2010,2016,"C00471987","H","P",202263
"432","H0NC08205",2010,2016,"C00477331","H","P",202264
"433","H0NC10151",2012,2016,"C00499954","H","P",202266
"434","H0NC10151",2012,2016,"C00467308","H","A",202265
"435","H0NC10177",2016,2016,"C00478933","H","A",202267
"436","H0NC10177",2016,2016,"C00610444","H","P",210855
"437","H0NC10185",2010,2016,"C00480285","H","P",202268
"438","H0NC11126",2010,2016,"C00476267","H","P",202269
"439","H0NC12082",2010,2016,"C00470211","H","P",202270
"440","H0NC13015",2012,2016,"C00465096","H","P",202271
"441","H0NC13023",2010,2016,"C00474791","H","P",202272
"442","H0NC13064",2012,2016,"C00490490","H","P",202273
"443","H0ND01026",2016,2016,"C00565861","N","J",202275
"444","H0ND01026",2016,2016,"C00504704","H","P",202274
"445","H0NE02151",2010,2016,"C00474882","H","P",202276
"446","H0NE03183",2010,2016,"C00466367","H","P",202277
"447","H0NE03191",2014,2016,"C00474254","H","P",202278
"448","H0NH01217",2016,2016,"C00573477","H","J",209153
"449","H0NH01217",2016,2016,"C00461350","H","P",202279
"450","H0NH01217",2016,2016,"C00571505","H","J",209066
"451","H0NH01225",2016,2016,"C00473538","H","P",202280
"452","H0NH02017",2012,2016,"C00302570","H","P",202281
"453","H0NH02017",2012,2016,"C00528851","H","J",202282
"454","H0NH02181",2016,2016,"C00567321","H","J",202286
"455","H0NH02181",2016,2016,"C00526210","N","J",202285
"456","H0NH02181",2016,2016,"C00462861","H","P",202283
"457","H0NH02181",2016,2016,"C00490458","N","J",202284
"458","H0NH02215",2012,2016,"C00431502","H","P",202287
"459","H0NJ01066",2014,2016,"C00243428","H","P",202288
"460","H0NJ01157",2010,2016,"C00466300","H","P",202289
"461","H0NJ02114",2010,2016,"C00475467","H","P",202290
"462","H0NJ03146",2010,2016,"C00473306","H","P",202291
"463","H0NJ03153",2014,2016,"C00477661","H","P",202292
"464","H0NJ03153",2014,2016,"C00528851","H","J",202293
"465","H0NJ03179",2010,2016,"C00488254","H","P",202294
"466","H0NJ04086",2014,2016,"C00554311","H","P",202295
"467","H0NJ04094",2010,2016,"C00480350","H","P",202296
"468","H0NJ06149",2010,2016,"C00475756","H","P",202297
"469","H0NJ06164",2014,2016,"C00512616","H","P",202298
"470","H0NJ10026",2012,2016,"C00225045","H","P",202299
"471","H0NJ10174",2014,2016,"C00487389","H","A",202300
"472","H0NJ10174",2014,2016,"C00562876","H","P",202301
"473","H0NJ11123",2014,2016,"C00487348","H","P",202302
"474","H0NJ31014",2012,2016,"C00475137","H","P",202303
"475","H0NJ33010",2010,2016,"C00462895","H","P",202304
"476","H0NM03045",2010,2016,"C00469445","H","P",202305
"477","H0NV01128",2010,2016,"C00472886","H","P",202306
